datetime,open,high,low,close,volume
2023-12-14 17:23:%00,16537.50,16537.50,16535.50,16536.75,10
2023-12-14 17:24:%00,16536.75,16537.25,16536.75,16537.25,4
2023-12-14 17:25:%00,16539.25,16540.50,16539.00,16539.25,13
2023-12-14 17:26:%00,16539.50,16542.75,16539.50,16542.75,6
2023-12-14 17:27:%00,16542.25,16545.25,16542.25,16544.00,22
2023-12-14 17:28:%00,16544.00,16548.00,16543.75,16545.25,23
2023-12-14 17:29:%00,16545.50,16546.50,16544.50,16544.50,8
2023-12-14 17:30:%00,16545.00,16547.50,16545.00,16546.25,10
2023-12-14 17:31:%00,16545.50,16545.50,16544.00,16545.50,20
2023-12-14 17:32:%00,16544.75,16545.50,16544.75,16545.50,5
2023-12-14 17:33:%00,16545.50,16546.25,16544.50,16546.00,45
2023-12-14 17:34:%00,16546.00,16548.00,16545.50,16548.00,33
2023-12-14 17:35:%00,16547.50,16547.75,16543.75,16543.75,17
2023-12-14 17:36:%00,16544.00,16544.25,16542.75,16543.00,13
2023-12-14 17:37:%00,16542.75,16543.75,16542.00,16542.50,22
2023-12-14 17:38:%00,16542.25,16545.50,16542.25,16545.50,16
2023-12-14 17:39:%00,16545.00,16546.00,16544.75,16545.50,11
2023-12-14 17:40:%00,16545.75,16546.25,16545.75,16546.00,4
2023-12-14 17:41:%00,16547.25,16547.25,16546.00,16546.25,5
2023-12-14 17:42:%00,16548.25,16548.25,16547.50,16547.50,3
2023-12-14 17:43:%00,16548.25,16548.25,16548.25,16548.25,1
2023-12-14 17:44:%00,16548.25,16548.50,16547.50,16547.50,5
2023-12-14 17:46:%00,16548.50,16550.75,16548.50,16549.75,22
2023-12-14 17:47:%00,16550.75,16550.75,16549.75,16550.00,3
2023-12-14 17:48:%00,16551.00,16551.50,16551.00,16551.00,3
2023-12-14 17:49:%00,16551.00,16551.00,16549.50,16549.50,12
2023-12-14 17:50:%00,16550.75,16551.25,16550.50,16550.75,11
2023-12-14 17:51:%00,16550.75,16552.25,16550.75,16550.75,11
2023-12-14 17:52:%00,16551.00,16551.00,16550.00,16550.25,11
2023-12-14 17:53:%00,16551.00,16551.25,16549.75,16550.50,11
2023-12-14 17:54:%00,16550.25,16551.00,16550.25,16551.00,5
2023-12-14 17:55:%00,16550.75,16550.75,16550.25,16550.25,2
2023-12-14 17:56:%00,16549.75,16549.75,16549.00,16549.25,4
2023-12-14 17:57:%00,16550.25,16550.25,16549.50,16549.50,2
2023-12-14 17:58:%00,16549.75,16550.50,16549.75,16550.50,4
2023-12-14 17:59:%00,16550.00,16550.50,16550.00,16550.50,2
2023-12-14 18:00:%00,16550.00,16551.00,16550.00,16551.00,5
2023-12-14 18:01:%00,16551.50,16551.75,16550.00,16551.50,6
2023-12-14 18:02:%00,16551.50,16555.00,16551.50,16553.00,7
2023-12-14 18:03:%00,16553.75,16556.00,16553.75,16555.50,6
2023-12-14 18:04:%00,16555.75,16559.25,16555.75,16558.75,13
2023-12-14 18:05:%00,16559.00,16560.75,16558.75,16559.25,16
2023-12-14 18:06:%00,16558.75,16560.00,16558.75,16560.00,11
2023-12-14 18:07:%00,16561.00,16561.00,16558.00,16558.25,5
2023-12-14 18:08:%00,16559.00,16559.00,16557.50,16558.50,9
2023-12-14 18:09:%00,16558.50,16560.00,16558.00,16559.25,4
2023-12-14 18:10:%00,16559.75,16561.00,16559.75,16561.00,3
2023-12-14 18:11:%00,16561.75,16561.75,16558.25,16558.25,9
2023-12-14 18:12:%00,16559.25,16559.25,16557.50,16558.25,9
2023-12-14 18:13:%00,16558.75,16560.75,16558.75,16560.75,4
2023-12-14 18:14:%00,16560.50,16561.25,16559.75,16561.00,15
2023-12-14 18:15:%00,16560.75,16563.00,16560.75,16563.00,5
2023-12-14 18:16:%00,16563.00,16563.00,16558.00,16558.00,9
